Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi A1 (TFSI),Audi,06/01/2024,"€4,800.00",2012,"130,377",Hatchback,Manual,Petrol,Grey Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr2 previous owners,Waterford
Audi Q7 (S line Plus),Audi,07/01/2024,"€14,450.00",2012,"91,483",SUV,Automatic,Diesel,Blue Audi Q73.0 TDI S line Plus Tiptronic quattro 5dr1 previous owner,Clare
Audi RS3 (TFSI),Audi,09/01/2024,"€70,256.00",2022,"3,869",Saloon,Automatic,Petrol,Black Audi RS3 SALOON2.5 RS 3 TFSI QUATTRO VORSPRUNG 4d 395 BHP TOP SPEC+S/S SEATS+MATRIX LED2 previous owners,Mayo
Audi A3 (S line),Audi,09/01/2024,"€10,308.00",2013,"83,389",Hatchback,Manual,Diesel,Black Audi A32.0 TDI S line Hatchback 3dr Diesel Manual Euro 5 (s/s) (150 ps)4 previous owners,Limerick
Audi A6 Saloon (ultra),Audi,2024-01-09,"€21,833.00",2018,"42,918",Saloon,Automatic,Diesel,Red Audi A6 Saloon2.0 TDI Ultra Black Edition 4dr S Tronic Leather Seats,Dublin
Audi S3 (TFSI),Audi,2024-01-09,"€20,345.00",2016,73451,Hatchback,Automatic,Petrol,Blue Audi S32.0 TFSI Sportback 5dr Petrol S Tronic quattro Euro 6 (s/s) (310 ps)4 previous owners,Laois
Audi Q2 (TFSI),Audi,10/01/2024,"€27,307.00",2020,"17,520",SUV,Automatic,Petrol,Audi Q2S line 35 TFSI 150 PS S tronic 1.5 5dr,Dublin
Audi Q2 (CoD),Audi,10/01/2024,"€19,056.00",2018,"60,224",SUV,Automatic,Petrol,Blue Audi Q21.4 TFSI CoD S line S Tronic Euro 6 (s/s) 5dr1 previous owner,Donegal
Audi TT (TFSI),Audi,10/01/2024,"€ 7,166",2009,"55,056",Convertible,Manual,Petrol,Red Audi TT2.0 TFSI Roadster 2dr Petrol Manual Euro 4 (200 ps)3 previous owners,Dublin
Audi Q2 (TFSI),Audi,10/01/2024,"€21,153.00",2018,"32,692",SUV,Manual,Petrol,Navy Audi Q2S line 1.4 TFSI cylinder on demand 150 PS 6-speed 5dr2 previous owners,Cork
Audi Q2 (CoD),Audi,14/01/2024,"€29,341.00",2021,"10,255",SUV,Automatic,Petrol,Grey Audi Q2S line 35 TFSI 150 PS S tronic 1.5 5dr1 previous owner,Dublin
Audi A1 (Black Edition),Audi,2024-01-15,"€14,933.00",2016,"31,341",Hatchback,Automatic,Diesel,Navy Audi A11.6 TDI Black Edition S Tronic Euro 6 (s/s) 3dr2 previous owners,Meath
Audi Q2 (TFSI),Audi,16/01/2024,"€20,366.00",2017,36368,SUV,Automatic,Petrol,Black Audi Q21.4 TFSI (150ps) S-Line (CoD) S Tronic SUV 5dr1 previous owner,Kerry
Audi S4 (TFSI V6),Audi,2024-01-17,"€ 12,346",2009,"89,140",Saloon,Automatic,Petrol,Grey Audi S43.0 TFSI V6 Saloon 4dr Petrol S Tronic quattro Euro 5 (333 ps)5 previous owners,Cork
Audi A4 (Black Edition),Audi,17/01/2024,"€20,586.00",2019,"57,654",Saloon,Automatic,Petrol,Red Audi A42.0 TFSI 35 Black Edition Saloon 4dr Petrol S Tronic Euro 6 (s/s) (150 ps)1 previous owner,Limerick
Audi A3 (TDI),Audi,18/01/2024,"€9,535.00",2015,75898,Hatchback,Manual,Diesel,Grey Audi A3TDI SE TECHNIK 1.6 5dr,Dublin
Audi A4 (TDI),Audi,18/01/2024,"€17,864.00",2016,"41,328",Saloon,Automatic,Diesel,Black Audi A42.0 TDI 190 Quattro Sport 4dr S Tronic,Dublin
Audi Q3 (TDI),Audi,19/01/2024,"€17,799.00",2018,"65,776",SUV,Manual,Diesel,Blue Audi Q32L S line Edition TDI 5dr,Donegal
Audi A4 Avant (TDI),Audi,19/01/2024,"€8,848.00",2011,"72,177",Estate,Automatic,Diesel,Blue Audi A4 Avant2.0 TDI Executive S line Multitronic Euro 4 5dr,Cork
Audi A3 (S line),Audi,2024-01-20,"€3,480.00",2010,"118,338",Hatchback,Manual,Diesel,Blue Audi A32.0 TDI S line Sportback 5dr Diesel Manual Euro 5 (s/s) (140 ps)4 previous owners,Cork
Audi Q3 (TDI),Audi,2024-01-20,"€13,423.00",2018,"105,879",SUV,Manual,Diesel,Blue Audi Q32.0 TDI Sport Euro 6 (s/s) 5dr,Laois
Audi Q2 (TFSI),Audi,20/01/2024,"€22,142.00",2019,"28,311",SUV,Automatic,Petrol,Red Audi Q21.5 TFSI CoD 35 S line SUV 5dr Petrol S Tronic (s/s) (150 ps)2 previous owners,Dublin
Audi A4 (TFSI),Audi,21/01/2024,"€20,739.00",2017,"22,171",Saloon,Automatic,Petrol,"Black Audi A42.0 TFSI S LINE 4d 188 BHP Euro 6, Heated Seats, 1 Prev Owner",Dublin
Audi A4 (TDI),Audi,22/01/2024,"€14,793.00",2016,"40,041",Saloon,Manual,Diesel,Black Audi A42.0 TDI ultra SE Euro 6 (s/s) 4dr3 previous owners,Longford
Audi Q3 (S line),Audi,2024-01-22,"€36,111.00",2021,"20,457 miles",SUV,Automatic,Petrol,Audi Q3 AVANT35 TFSI S Line 5dr S Tronic 1.5,Dublin
Audi A4 (Black Edition),Audi,2024-01-23,"€18,363.00",2018,"48,786",Saloon,Automatic,Petrol,Red Audi A41.4T FSI Black Edition 4dr S Tronic Saloon,Limerick
Audi A5 (S line),Audi,24/01/2024,"€34,128.00",2021,"5,224",Hatchback,Automatic,Diesel,Red Audi A5Sportback S line 35 TDI 163 PS S tronic 2.0 5dr,Kerry
Audi A5 (S line),Audi,2024-01-24,"€12,812.00",2015,"102,434",Hatchback,Automatic,Diesel,Blue Audi A53.0 TDI V6 S line Sportback S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Carlow
Audi Q7 (TDI V6),Audi,25/01/2024,"€56,245.00",2019,"22,223",SUV,Automatic,Diesel,Blue Audi Q750 TDI Quattro Vorsprung 5dr 3.0,Cork
Audi A1 (S line),Audi,2024-01-25,"€7,881.00",2013,"78,971",Hatchback,Manual,Diesel,Silver Audi A11.6 TDI S line Sportback Euro 5 (s/s) 5dr4 previous owners,Meath
Audi A3 Cabriolet (TDI),Audi,2024-01-25,"€11,804.00",2012,"22,805",Convertible,Automatic,Diesel,Audi A3 Cabriolet2.0 TDI Sport S Tronic 2dr2 previous owners,Dublin
Audi A1 (TDI),Audi,2024-01-26,"€9,880.00",2013,"77,316",Hatchback,Manual,Diesel,Red Audi A1SPORTBACK TDI S LINE BLACK EDITION 2.0 5dr,Tipperary
Audi Q2 (S line),Audi,26/01/2024,"€23,040.00",2018,"15,373",SUV,Automatic,Petrol,Blue Audi Q21.4 Tfsi S Line 5Dr S Tronic1 previous owner,Dublin
Audi TT (S line),Audi,26/01/2024,"€ 15,865",2016,"94,779",Convertible,Automatic,Petrol,Navy Audi TT2.0 TFSI S line+HUGE SPEC+ Roadster 2dr Petrol S Tronic quattro Euro 6 (s/s) (230 ps),Wicklow
Audi A6 Avant (Black Edition),Audi,27/01/2024,"€12,946.00",2014,"120,051",Estate,Automatic,Diesel,Black Audi A6 Avant2.0 TDI ultra Black Edition S Tronic Euro 6 (s/s) 5dr2 previous owners,Dublin
Audi Q2 (CoD),Audi,28/01/2024,"€15,262.00",2020,11229,S.U.V.,Manual,Petrol,Red Audi Q21.5 TFSI CoD 35 S line Euro 6 (s/s) 5dr1 previous owner,Dublin
Audi A7 (TDI V6),Audi,2024-01-30,"€19,416.00",2016,"64,275",Hatchback,Automatic,Diesel,Audi A73.0 TDI V6 ultra S line Sportback S Tronic Euro 6 (s/s) 5dr3 previous owners,Mayo
Audi A5 (Black Edition Plus),Audi,30/01/2024,"€ 16,815",2016,"59,380",Coupe,Manual,Diesel,Blue Audi A52.0 TDI 190 Quattro Black Edition Plus 2dr,Waterford
Audi A3 (Edition 1),Audi,30/01/2024,"€36,253.00",2021,"7,603",Hatchback,Manual,Diesel,Silver Audi A3Sportback Edition 1 35 TDI 150 PS 6-speed 2.0 5dr,Dublin
Audi Q2 (TDI),Audi,03/02/2024,"€20,893.00",2019,"11,446",SUV,Manual,Diesel,Grey Audi Q230 TDI Sport 5dr 1.6,Wicklow
Audi Q3 (TDI),Audi,06/02/2024,"€35,335.00",2021,"20,294 miles",SUV,Automatic,Diesel,Grey Audi Q335 TDI S Line 5dr S Tronic 2.0,Wexford
Audi S3 (TFSI),Audi,07/02/2024,"€ 8,390",2008,"97,202",Hatchback,Manual,Petrol,Audi S32.0 TFSI quattro 3dr,Laois
Audi A6 Avant (TDI),Audi,07/02/2024,"€22,299.00",2018,"46,853",Estate,Automatic,Diesel,Red Audi A6 Avant2.0 TDI ultra S line Estate 5dr Diesel S Tronic Euro 6 (s/s) (190 ps)1 previous owner,Dublin
Audi Q3 (S line),Audi,2024-02-08,"€32,409.00",2019,"17,315",SUV,Auto,Petrol,Blue Audi Q32.0 TFSI 40 S line S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Galway
Audi Q5 (S line Plus),Audi,08/02/2024,"€19,203.00",2016,"57,210",SUV,Automatic,Diesel,Black Audi Q52.0 TDI S line Plus S Tronic quattro Euro 6 (s/s) 5dr1 previous owner,Dublin
Audi A1 (Black Edition),Audi,08/02/2024,"€ 7,770",2012,"98,166",Hatchback,Manual,Diesel,Navy Audi A12.0 TDI Black Edition Euro 5 (s/s) 3dr,Clare
