Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
BMW 4 Series (M Sport),BMW,2024-01-02,"€15,899.00",2016,"75,663",Convertible,Automatic,Diesel,Blue BMW 4 SERIES420d 2.0 190 Bhp M SPORT NAV 2dr,Galway
BMW 4 Series Gran Coupe (428i),BMW,04/01/2024,"€20,641.00",2015,"37,197",Hatchback,Automatic,Petrol,Red BMW 4 Series Gran Coupe2.0 428i M Sport Auto Euro 6 (s/s) 5dr2 previous owners,Cork
BMW 1 Series (116i),BMW,04/01/2024,"€9,453.00",2012,"43,305",Hatchback,Manual,Petrol,Red BMW 1 SERIES1.6 116I SE 5d 135 BHP BLUETOOTH TELEPHONE CONNECTION2 previous owners,Dublin
BMW 4 Series Gran Coupe (M Sport),BMW,05/01/2024,"€18,819.00",2016,"83,413",Hatchback,Automatic,Diesel,Grey BMW 4 Series Gran Coupe3.0 435d M Sport Auto xDrive Euro 6 (s/s) 5dr3 previous owners,Cork
BMW X2 (18d),BMW,07/01/2024,"€19,818.00",2019,"28,819",SUV,Manual,Diesel,Red BMW X2xDrive 18d SE 5dr 2.01 previous owner,Laois
BMW 3 Series (SE),BMW,08/01/2024,"€14,244.00",2017,"35,373 miles",Saloon,Manual,Diesel,Blue BMW 3 SeriesBMW 3 316d 2.0 SE 4dr1 previous owner,Sligo
BMW 1 Series (M Sport Shadow Edition),BMW,2024-01-08,"€16,561.00",2018,38738,Hatchback,Manual,Petrol,Black BMW 1 SERIES1.5 118I M SPORT SHADOW EDITION 5d 134 BHP1 previous owner,Dublin
BMW X2 (Sport),BMW,08/01/2024,"€30,481.00",2021,"6,740",SUV,Automatic,Petrol,Silver BMW X2 SeriesX2 sDrive20i Sport 2.0 5dr2 previous owners,Cavan
BMW 4 Series Gran Coupe (Sport),BMW,2024-01-10,"€12,713.00",2015,"101,242",Hatchback,Automatic,Diesel,Black BMW 4 Series Gran Coupe2.0 420d Sport Auto Euro 6 (s/s) 5dr2 previous owners,Dublin
BMW 1 Series (118i),BMW,10/01/2024,"€8,217.00",2015,"131,119",Hatchback,Manual,Petrol,Silver BMW 1 Series1.5 118i SE Euro 6 (s/s) 5dr2 previous owners,Galway
BMW 5 Series (540i),BMW,10/01/2024,"€23,374.00",2018,"77,418",Saloon,Automatic,Petrol,BMW 5 Series3.0 540i SE Auto xDrive Euro 6 (s/s) 4dr1 previous owner,Laois
BMW 1 Series (Sport),BMW,12/01/2024,"€2,758.00",2010,144154,Hatchback,Manual,Diesel,Black BMW 1 Series2.0 116d Sport Euro 5 (s/s) 5dr4 previous owners,Cork
BMW 1 Series (M Sport),BMW,12/01/2024,"€6,956.00",2011,"94,996",Convertible,Manual,Diesel,Grey BMW 1 SERIES2.0 120D M SPORT 2d 175 BHP 3 MONTH WARRANTY LOW MILES M SPORT,Dublin
BMW 1 Series (M Sport),BMW,12/01/2024,"€9,012.00",2013,"80,008",Hatchback,Manual,Diesel,Red BMW 1 Series2.0 118d M Sport Euro 5 (s/s) 5dr3 previous owners,Cavan
