Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Mercedes-Benz GLA Class (GLA180),Benz,02/01/2024,"€28,158.00",2019,"10,107",SUV,Automatic,Petrol,Red Mercedes-Benz GLAGla 180 Amg Line Edition 5Dr Auto 1.61 previous owner,Mayo
Mercedes-Benz C Class (BlueEfficiency),Benz,02/01/2024,"€ 7,480",2011,"96,427",Saloon,Automatic,Diesel,Red Mercedes-Benz C Class2.1 C220 CDI BlueEfficiency Sport Edition 125 7G-Tronic 4dr,Wicklow
Mercedes-Benz C Class (C180),Benz,03/01/2024,"€7,787.00",2012,"97,058 miles",Saloon,Automatic,Petrol,Blue Mercedes-Benz C Class1.6 C180 BlueEfficiency Executive SE G-Tronic+ Euro 5 (s/s) 4dr,Dublin
Mercedes-Benz GLA Class (Urban Edition),Benz,2024-01-05,"€24,399.00",2019,"9,764 miles",SUV,Automatic,Petrol,Silver Mercedes-Benz Gla Class1.6 GLA180 Urban Edition 7G-DCT Euro 6 (s/s) 5dr2 previous owners,Cork
Mercedes-Benz C Class (Executive SE),Benz,05/01/2024,"€ 10,694",2012,"36,210",Saloon,Automatic,Petrol,Silver Mercedes-Benz C Class1.6 C180 BlueEfficiency Executive SE G-Tronic+ Euro 5 (s/s) 4dr2 previous owners,Dublin
Mercedes-Benz A Class (AMG Line),Benz,2024-01-06,"€17,579.00",2017,"36,092 miles",Hatchback,Automatic,Diesel,Mercedes-Benz A Class1.5 A180d AMG Line 7G-DCT Euro 6 (s/s) 5dr2 previous owners,Cork
Mercedes-Benz GLE Class (GLE300d),Benz,06/01/2024,"€59,205.00",2020,"9,394",SUV,Automatic,Diesel,Blue Mercedes-Benz Gle Diesel EstateGLE 300d 4Matic AMG Line Prem Plus 5dr 9G-Tronic 2.01 previous owner,Kilkenny
Mercedes-Benz E Class (SE),Benz,07/01/2024,"€14,372.00",2013,"36,156",Saloon,Automatic,Diesel,Mercedes-Benz E Class2.1 E220 CDI SE 4DR AUTOMATIC2 previous owners,Kerry
Mercedes-Benz E Class (AMG Line),Benz,07/01/2024,"€24,196.00",2017,35149,Saloon,Automatic,Diesel,Red Mercedes-Benz E Class Diesel SaloonE220d AMG Line 4dr 9G-Tronic 2.01 previous owner,Dublin
Mercedes-Benz E Class (MHEV),Benz,07/01/2024,"€65,120.00",2022,"5,291",Saloon,Automatic,Petrol Hybrid,Navy Mercedes-Benz E-ClassE53 4Matic+ Night Edition Prem+ 4dr TCT Petrol Saloon 3.0,Dublin
Mercedes-Benz E Class (SE),Benz,2024-01-09,"€8,645.00",2013,"105,776",Estate,Manual,Diesel,Black Mercedes-Benz E Class2.1 E220 CDI SE Euro 5 (s/s) 5dr,Meath
Mercedes-Benz C Class (C200),Benz,2024-01-10,"€26,363.00",2019,"11,356",Saloon,Automatic,Petrol,Navy Mercedes-Benz C ClassC200 AMG Line 4dr 9G-Tronic 1.51 previous owner,Offaly
Mercedes-Benz GLE Class (GLE300d),Benz,10/01/2024,"€50,430.00",2020,"23,590",SUV,Automatic,Diesel,Red Mercedes-Benz GLE300d 4Matic AMG Line Premium 5dr 9G-Tronic 2.0,Dublin
Mercedes-Benz E Class (E220),Benz,10/01/2024,"€15,096.00",2016,"84,627",Saloon,Automatic,Diesel,Black Mercedes-Benz E Class2.1 E220 BlueTEC AMG Night Edition (Premium) G-Tronic+ Euro 6 (s/s) 4dr2 previous owners,Westmeath
Mercedes-Benz A Class (A200),Benz,11/01/2024,"€25,056.00",2019,"16,650",Saloon,Manual,Petrol,Blue Mercedes-Benz A ClassA200 AMG Line Premium 4dr 1.32 previous owners,Clare
Mercedes-Benz E Class (BlueEfficiency),Benz,2024-01-13,"€5,592.00",2009,"101,463",Coupe,Automatic,Diesel,Blue Mercedes-Benz E Class3.0 E350 CDI V6 BlueEfficiency SE G-Tronic Euro 5 2dr3 previous owners,Roscommon
Mercedes-Benz CLA Class (AMG Line Night Edition),Benz,2024-01-13,"€23,756.00",2018,"60,195",Saloon,Automatic,Petrol,Black Mercedes-Benz Cla ClassCLA 200 AMG Line Night Edition Plus 4dr Tip Auto 1.6,Dublin
Mercedes-Benz E Class (SE),Benz,14/01/2024,"€21,245.00",2018,"87,299",Saloon,Automatic,Diesel,Red Mercedes-Benz E-Class2.0 E 220 D SE PREMIUM 4d 192 BHP,Galway
Mercedes-Benz CLA Class (CLA220d),Benz,2024-01-14,"€19,493.00",2017,"47,430",Saloon,Automatic,Diesel,Mercedes-Benz CLA2.1 CLA 220 D AMG LINE 4d 174 BHP HARMAN KARDON / DUAL AC / LED LIGHT2 previous owners,Dublin
Mercedes-Benz C Class (C250 CDI),Benz,2024-01-14,"€11,416.00",2013,"52,436",Coupe,Automatic,Diesel,Blue Mercedes-Benz C Class2.1 C250 CDI BlueEfficiency AMG Sport G-Tronic+ Euro 5 (s/s) 2dr3 previous owners,Donegal
Mercedes-Benz E Class (E400d),Benz,2024-01-16,"€ 41,748",2019,"20,844",Estate,Automatic,Diesel,Red Mercedes-Benz E ClassE400d 4Matic AMG Line Night Ed Prem+ 5dr 9G-Tronic 2.91 previous owner,Westmeath
Mercedes-Benz GLC Class (AMG Line),Benz,17/01/2024,"€37,384.00",2019,"20,194",SUV,Auto,Diesel,Silver Mercedes-Benz Glc Diesel EstateGLC 300d 4Matic AMG Line Premium 5dr 9G-Tronic 2.02 previous owners,Cork
