Model,Brand,Date of Sale,Sale Price (€),Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location,Car Age at Sale
Audi A1 (TFSI),Audi,2024-01-06,4800.0,2012,130377,Hatchback,Manual,Petrol,Grey Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr2 previous owners,Waterford,12
Audi Q7 (S line Plus),Audi,2024-01-07,14450.0,2012,91483,SUV,Automatic,Diesel,Blue Audi Q73.0 TDI S line Plus Tiptronic quattro 5dr1 previous owner,Clare,12
Audi RS3 (TFSI),Audi,2024-01-09,70256.0,2022,3869,Saloon,Automatic,Petrol,Black Audi RS3 SALOON2.5 RS 3 TFSI QUATTRO VORSPRUNG 4d 395 BHP TOP SPEC+S/S SEATS+MATRIX LED2 previous owners,Mayo,2
Audi A3 (S line),Audi,2024-01-09,10308.0,2013,83389,Hatchback,Manual,Diesel,Black Audi A32.0 TDI S line Hatchback 3dr Diesel Manual Euro 5 (s/s) (150 ps)4 previous owners,Limerick,11
Audi A6 Saloon (ultra),Audi,2024-01-09,21833.0,2018,42918,Saloon,Automatic,Diesel,Red Audi A6 Saloon2.0 TDI Ultra Black Edition 4dr S Tronic Leather Seats,Dublin,6
Audi S3 (TFSI),Audi,2024-01-09,20345.0,2016,73451,Hatchback,Automatic,Petrol,Blue Audi S32.0 TFSI Sportback 5dr Petrol S Tronic quattro Euro 6 (s/s) (310 ps)4 previous owners,Laois,8
Audi Q2 (TFSI),Audi,2024-01-10,27307.0,2020,17520,SUV,Automatic,Petrol,Audi Q2S line 35 TFSI 150 PS S tronic 1.5 5dr,Dublin,4
Audi Q2 (CoD),Audi,2024-01-10,19056.0,2018,60224,SUV,Automatic,Petrol,Blue Audi Q21.4 TFSI CoD S line S Tronic Euro 6 (s/s) 5dr1 previous owner,Donegal,6
Audi TT (TFSI),Audi,2024-01-10,7166.0,2009,55056,Convertible,Manual,Petrol,Red Audi TT2.0 TFSI Roadster 2dr Petrol Manual Euro 4 (200 ps)3 previous owners,Dublin,15
Audi Q2 (TFSI),Audi,2024-01-10,21153.0,2018,32692,SUV,Manual,Petrol,Navy Audi Q2S line 1.4 TFSI cylinder on demand 150 PS 6-speed 5dr2 previous owners,Cork,6
Audi Q2 (CoD),Audi,2024-01-14,29341.0,2021,10255,SUV,Automatic,Petrol,Grey Audi Q2S line 35 TFSI 150 PS S tronic 1.5 5dr1 previous owner,Dublin,3
Audi A1 (Black Edition),Audi,2024-01-15,14933.0,2016,31341,Hatchback,Automatic,Diesel,Navy Audi A11.6 TDI Black Edition S Tronic Euro 6 (s/s) 3dr2 previous owners,Meath,8
Audi Q2 (TFSI),Audi,2024-01-16,20366.0,2017,36368,SUV,Automatic,Petrol,Black Audi Q21.4 TFSI (150ps) S-Line (CoD) S Tronic SUV 5dr1 previous owner,Kerry,7
Audi S4 (TFSI V6),Audi,2024-01-17,12346.0,2009,89140,Saloon,Automatic,Petrol,Grey Audi S43.0 TFSI V6 Saloon 4dr Petrol S Tronic quattro Euro 5 (333 ps)5 previous owners,Cork,15
Audi A4 (Black Edition),Audi,2024-01-17,20586.0,2019,57654,Saloon,Automatic,Petrol,Red Audi A42.0 TFSI 35 Black Edition Saloon 4dr Petrol S Tronic Euro 6 (s/s) (150 ps)1 previous owner,Limerick,5
